folder,techno_modifiee,gwp_constr,f_H2_STORAGE,f_METHANOL_STORAGE,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
104_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0681000000000001,,689.774145,16.534327,8.594332,6.294587,1.709247,1.052981,0.870099
105_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0687000000000001,,690.944594,16.541535,8.38057,6.223532,1.221069,1.236489,1.001483
106_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0693000000000002,,690.201889,16.732374,8.6141,6.659904,3.065763,0.750998,0.999718
107_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0699000000000002,,690.712422,17.279634,8.814796,6.170592,0.962543,0.829439,1.056211
108_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0705000000000002,,690.34455,17.428506,8.149601,6.179404,1.537744,0.950341,0.915314
109_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0711000000000002,,690.181871,18.94407,8.455319,6.17035,1.400541,1.059421,0.888434
110_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0717000000000002,,689.735168,16.619161,8.628742,6.18233,1.583935,0.839191,0.96598
111_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0723000000000002,,689.78463,18.676724,8.289699,6.16581,2.084496,1.235924,0.74514
112_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0729000000000002,,689.183197,17.87297,8.45123,6.206014,0.895321,0.631124,0.96201
113_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0735000000000002,,688.875252,17.277054,8.312789,6.24208,0.953686,0.932721,0.990073
114_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0741000000000002,,689.09514,17.824696,8.316264,6.136641,1.061421,0.874025,0.907422
115_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0747000000000002,,689.111453,17.520324,9.089313,6.133268,1.029607,0.802596,0.861686
116_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0753000000000002,,688.954647,20.566806,9.27957,6.212696,1.535484,1.466653,0.84571
117_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0759000000000002,,688.899282,19.449806,10.124519,6.155259,0.663671,0.603841,0.848721
118_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0765000000000002,,688.949466,16.539633,8.643706,6.390754,2.201554,0.626181,0.900729
119_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0771000000000002,,688.923184,17.948501,8.656338,6.185517,0.680127,0.639298,0.947187
120_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0777000000000002,,688.965048,16.73338,8.760659,6.186954,0.747246,1.072668,1.03175
121_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0783000000000002,,688.907731,16.545999,8.640981,6.209809,1.422928,1.251716,1.097715
122_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0789000000000002,,688.960351,17.224923,8.487538,6.192807,1.007163,2.598002,0.986176
123_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0795000000000002,,688.988604,16.87314,8.420677,6.235061,1.497582,0.902836,1.104239
124_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0801000000000002,,688.894837,19.191705,8.408669,6.272764,2.267557,1.37955,0.949443
125_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0807000000000002,,688.870506,19.896845,8.628099,6.204661,0.802349,0.54959,0.905512
126_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0813000000000002,,688.875852,16.648742,8.448919,6.291271,2.232889,1.700888,1.116041
127_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0819000000000002,,688.839135,17.134351,8.564796,6.179205,3.278208,1.780432,0.747064
128_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0825000000000002,,688.901229,18.585906,8.518021,6.204902,1.963337,0.797897,0.830487
129_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0831000000000002,,688.747669,16.535345,8.563227,6.16789,1.073091,1.470847,0.901264
130_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0837000000000002,,688.838376,18.00783,8.42854,7.277296,2.27388,0.865732,1.115653
131_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0843000000000002,,688.901877,19.303825,8.312305,6.505628,1.482879,1.338508,0.933631
132_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0849000000000002,,688.900218,18.639957,8.429645,6.241049,0.917832,0.705587,1.079476
