folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
28_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.164,882.311321,21.282839,9.682208,7.960688,0.627755,1.169132,1.035878
29_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1740000000000002,870.473257,18.59008,9.439818,7.305986,1.528161,1.137397,0.90589
30_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1840000000000002,870.436122,26.957544,15.952103,9.632746,1.226271,3.455842,1.11639
31_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1940000000000002,863.028571,20.392136,8.738651,8.055681,0.443273,0.615114,0.712131
32_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2040000000000002,854.612968,18.280315,9.680019,8.07382,0.996732,1.571221,0.927263
33_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2140000000000002,849.726105,18.901124,10.885888,8.004364,0.706769,1.913232,0.856035
34_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2240000000000002,844.873321,17.797286,10.496031,8.254416,1.667319,1.171982,0.856541
35_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2340000000000002,844.87012,17.470185,9.66865,7.568443,1.051237,1.143292,0.87309
36_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2440000000000002,844.880638,16.852356,8.227781,6.837179,1.055196,0.591136,0.985819
37_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2540000000000002,844.662651,20.184466,9.647423,8.054652,0.798025,1.072983,0.964389
38_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2640000000000002,836.698227,18.074032,9.498968,8.39646,1.337945,1.136721,1.121041
39_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2740000000000002,836.696738,18.57875,13.355574,7.497615,1.558357,2.025255,0.986498
40_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2840000000000005,836.688495,18.570388,10.264686,8.652371,1.451905,1.964257,0.836787
41_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2940000000000005,830.226241,22.34805,11.731262,8.663247,0.702431,1.289359,0.968317
42_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3040000000000005,826.654727,19.750894,9.89357,7.935707,0.738203,1.37688,0.915685
43_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3140000000000005,818.886129,22.363598,11.834513,10.545336,1.319338,2.846495,0.932956
44_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3240000000000005,811.719605,20.671272,9.59249,8.570166,0.778016,1.64634,1.127708
45_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3340000000000003,811.681075,17.951498,10.742054,7.9008,1.163633,0.953232,0.863674
46_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3440000000000003,811.685962,19.410925,14.539005,10.594372,0.744128,0.964823,1.230301
