folder;techno_modifiee;gwp_constr;f_H2_STORAGE;f_METHANOL_STORAGE;f_TRUCK_ELEC;f_BOAT_FREIGHT_DIESEL;f_TRUCK_FUEL_CELL;f_TRUCK_DIESEL;f_TRAIN_FREIGHT;f_BOAT_FREIGHT_METHANOL;f_TRUCK_METHANOL;f_TRUCK_NG;f_BOAT_FREIGHT_NG
85_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0567000000000001;;691.454247;51.516;29.220171;1.115432;16.731507;7.73042;1.723839;0.326633;0.454078;1.717519
86_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0573000000000001;;691.470687;51.557762;32.338459;1.782392;18.739125;7.73042;2.023677;3.164059;1.535434;1.79135
87_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0579000000000001;;691.535841;51.523649;39.032864;2.009195;4.442174;7.730421;5.338483;0.134739;0.189333;1.261129
88_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0585000000000001;;691.675963;54.091884;34.082858;4.749792;11.711859;7.73042;9.640975;3.54598;2.978936;4.161305
89_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0591000000000001;;691.375779;51.512972;33.332189;23.105365;30.8704;7.730421;1.218231;0.813583;5.98757;1.097039
90_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0597000000000001;;691.448103;58.600082;28.7451;18.345636;26.284821;7.73042;1.469293;1.871943;0.687735;2.747155
91_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0603000000000001;;691.405685;51.501788;37.255096;30.949562;22.924339;7.730421;7.787405;3.878219;3.780109;1.4574
92_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0609000000000001;;691.455451;51.494775;28.32656;60.13911;15.542589;7.730421;13.284389;1.437967;3.638761;1.054704
93_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0615000000000001;;691.754185;51.541355;30.770394;11.252118;2.163279;7.73042;1.859682;0.187373;0.136286;1.539035
94_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0621000000000001;;691.438284;51.511029;32.445434;16.193514;0.21706;7.730421;1.917786;2.809949;0.250151;1.607355
95_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0627000000000001;;691.301522;58.727061;36.544828;7.709614;7.875392;7.730421;4.472832;4.115144;0.327854;1.50012
96_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0633000000000001;;689.206392;51.521725;36.22174;6.684508;24.749082;7.730418;1.54066;4.123136;2.297793;11.992306
97_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0639000000000001;;690.910357;51.476533;33.063945;56.279169;32.581242;7.730421;4.155256;0.717182;0.158487;2.443559
98_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0645000000000001;;691.038671;51.923125;31.018061;14.600835;17.539978;7.73042;6.339289;0.671481;23.430215;1.9033
99_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0651000000000001;;691.370302;51.491067;32.574558;5.394411;24.115108;7.730421;8.133026;6.604551;9.687869;1.513138
100_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0657000000000001;;690.110621;55.27281;31.049948;15.506382;13.979044;7.73042;2.847483;5.245241;0.429942;2.073229
101_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0663000000000001;;690.942722;56.301558;28.876552;38.840394;25.883981;7.73042;20.883151;0.79446;0.135448;1.570515
102_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0669000000000001;;690.244815;52.116239;37.232917;8.016366;25.004369;7.73042;4.698773;3.406485;3.675835;2.048265
103_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0675000000000001;;690.904141;51.760555;33.621204;0.451186;14.374022;7.730421;9.957343;0.183604;0.108888;1.624783
104_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0681000000000001;;689.774145;52.044947;36.219681;11.393593;7.851342;7.730421;9.0283;11.610271;1.747413;1.390173
105_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0687000000000001;;690.944594;51.523059;31.017495;21.116859;2.756363;7.730421;4.295833;4.821959;0.34803;1.610554
