folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_METHANOL_TO_HVC,f_GAS_TO_HVC,f_HABER_BOSCH,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
212_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.00399999999998,346.243491,24.078945,14.148569,12.323733,12.102526,11.702623,9.800779,9.27059,8.746758,8.052018,6.949417,5.651605
213_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.01399999999998,343.547088,18.567909,10.970996,10.615415,9.294621,8.9684,7.467325,7.298238,6.760346,6.234775,5.343526,4.305502
214_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.023999999999979,337.753543,22.276483,13.730995,11.801222,11.704435,11.599257,9.258426,8.972316,8.676405,7.858372,6.672884,5.637824
215_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.033999999999979,332.997624,21.702028,13.577332,11.721477,11.489153,11.211143,8.962374,8.584873,8.145885,7.72099,6.28343,5.184319
216_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0439999999999787,318.411827,15.576363,10.17408,9.751174,8.411572,8.731306,6.559741,6.74373,6.654224,6.089118,5.047592,4.82259
217_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0539999999999785,316.870455,23.722663,13.403198,12.278306,10.813689,11.096087,9.789284,9.39014,8.907752,8.075926,7.318287,5.974623
218_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0639999999999783,315.130985,22.875955,13.586691,11.962153,11.587253,11.210303,9.337386,8.908511,8.392278,7.76478,6.647969,5.437442
219_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.073999999999978,309.639135,30.982994,18.056555,14.469343,14.937058,14.97957,12.580725,11.825104,11.272926,10.446467,8.988206,7.315297
220_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.083999999999978,305.693407,19.687732,11.989565,11.004466,10.248647,9.921179,8.081576,7.818029,7.318334,6.746113,5.718832,4.691743
221_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0939999999999777,300.166228,22.959902,13.623096,12.044082,11.539901,11.314988,9.476093,9.091102,8.649759,7.935108,6.836417,5.686176
