folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_CAR_FUEL_CELL,f_CAR_NG,f_CAR_DIESEL,f_CAR_HEV,f_CAR_METHANOL,f_CAR_GASOLINE,f_CAR_PHEV,f_CAR_BEV
166_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5439999999999894,480.184255,182.651532,8.511644,3.571172,1.265438,4.398732,1.469064,5.2e-05,1.8e-05
167_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.553999999999989,478.457813,177.15008,22.076841,2.005006,0.619125,1.490704,7.753781,1e-05,3e-06
168_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.563999999999989,475.51652,179.086572,4.657984,5.686895,1.893931,7.212572,1.801092,4.6e-05,1.5e-05
169_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5739999999999887,472.189173,178.504947,8.912631,0.922224,2.719478,2.79623,1.118106,5.9e-05,1.8e-05
170_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5839999999999885,472.16847,179.171179,8.922782,11.349207,5.845014,5.455384,4.991648,7e-05,2.1e-05
171_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5939999999999883,471.892085,180.992327,19.489779,0.449496,4.052769,3.72989,1.955171,2.5e-05,6e-06
172_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.603999999999988,460.676287,176.983059,1.473981,21.176643,5.158648,8.62999,1.86575,5.4e-05,1.7e-05
173_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.613999999999988,460.890071,176.979157,2.197682,8.127307,6.175765,11.510257,1.897258,0.000431,0.000143
174_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.623999999999988,460.724698,186.381689,0.840006,7.446124,0.735379,0.574977,2.284204,5.7e-05,1.7e-05
175_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6339999999999875,459.344931,176.989473,2.161992,1.211348,1.009544,1.088428,1.79191,5.9e-05,1.7e-05
176_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6439999999999872,458.332061,183.605968,0.781657,7.100183,0.988618,4.568565,0.996506,1.6e-05,5e-06
177_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.653999999999987,458.541438,181.865818,6.161002,6.679806,1.676236,1.241715,0.721376,2.9e-05,9e-06
178_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.663999999999987,457.53926,177.671588,8.559705,4.206084,34.876264,2.187535,5.430452,1.5e-05,4e-06
179_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6739999999999866,454.00012,185.637075,2.528841,1.584237,4.750944,0.955414,0.871403,0.000124,4e-05
180_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6839999999999864,450.005492,182.380186,6.769785,7.913533,1.510136,0.765217,3.681414,9e-06,3e-06
181_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.693999999999986,439.158691,214.130568,18.618148,9.364001,9.394336,3.230388,3.882884,1.3e-05,4e-06
182_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.703999999999986,439.472162,177.546996,0.835427,9.546201,1.437439,1.114821,1.040114,6.6e-05,1.8e-05
183_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7139999999999858,439.453001,177.96744,1.445472,1.771382,1.659149,0.661423,2.942803,6.4e-05,2.2e-05
184_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.723999999999985,432.84605,181.999113,1.522737,5.43981,0.953126,1.276031,1.447829,9.6e-05,3.2e-05
185_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7339999999999853,429.879181,177.132407,5.562898,2.889961,7.720416,1.192906,2.382846,0.000331,9.3e-05
186_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.743999999999985,429.462303,180.467768,6.7271,1.461553,1.442658,1.346006,0.685057,8.3e-05,2.5e-05
187_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.753999999999985,429.386341,180.382572,1.398606,29.508021,6.519087,3.260331,2.635051,6.3e-05,1.7e-05
188_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7639999999999847,429.369579,185.004981,9.951419,1.034486,6.164747,2.363565,1.492966,9.3e-05,3.2e-05
189_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7739999999999845,429.37486,176.980118,2.596506,9.848618,7.924382,3.954724,1.916808,7.6e-05,2e-05
190_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7839999999999843,429.339445,179.869546,6.663508,21.962455,11.901104,10.321519,1.741965,9.1e-05,2.7e-05
191_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.793999999999984,419.973888,178.398217,5.040639,1.793336,1.182205,2.965337,2.311378,6.4e-05,2.2e-05
192_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.803999999999984,418.898059,183.177026,8.374885,12.881235,7.429817,10.632692,2.856333,7e-05,2.1e-05
193_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.813999999999984,413.497115,177.035345,4.984931,4.078415,10.860172,3.452775,2.422478,6.5e-05,1.7e-05
194_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8239999999999834,413.497832,195.971592,29.433286,3.290116,9.731664,0.838441,5.490788,4.7e-05,1.2e-05
195_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.833999999999983,413.436884,194.309841,3.485269,1.629159,2.365663,3.896864,1.944461,4.4e-05,1.3e-05
196_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.843999999999983,413.328821,183.775506,3.808708,9.673599,0.924554,0.842705,1.706307,7.7e-05,2.3e-05
197_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8539999999999828,413.342664,179.847292,1.13532,2.144387,1.466119,0.669298,2.09508,9.8e-05,3e-05
198_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8639999999999826,413.359317,177.758003,10.986986,5.251853,1.714124,7.307444,1.272476,8.1e-05,3.2e-05
199_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8739999999999823,413.325806,233.91768,10.664752,0.580905,4.6275,0.918563,3.510799,3.7e-05,1.1e-05
200_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.883999999999982,413.32232,177.033028,2.274991,6.655138,2.025038,1.389165,1.16788,6e-05,1.9e-05
201_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.893999999999982,402.679693,181.274195,2.311398,11.065066,5.167882,1.725928,2.065049,5.5e-05,1.4e-05
202_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9039999999999817,388.119436,179.613853,2.445357,3.558378,1.105266,1.710052,1.107313,0.00014,3.9e-05
