folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_PV,f_WIND_ONSHORE,f_WIND_OFFSHORE,f_CCGT_AMMONIA,f_HYDRO_RIVER,f_CCGT,f_COAL_IGCC,f_COAL_US,f_GEOTHERMAL,f_NUCLEAR
100_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8840000000000008,663.791619,59.174996,10.0,6.0,0.889057,0.115,2e-06,0.0,0.0,0.0,0.0
101_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8940000000000008,662.125486,59.174984,10.0,6.0,0.889309,0.115,8e-06,0.0,0.0,0.0,0.0
102_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9040000000000008,657.09121,59.174994,10.0,6.0,0.897275,0.115,2e-06,0.0,0.0,0.0,0.0
103_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9140000000000008,656.892902,59.174994,10.0,6.0,0.897495,0.115,3e-06,0.0,0.0,0.0,0.0
104_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9240000000000008,652.814429,59.174997,10.0,6.0,0.903361,0.115,2e-06,0.0,0.0,0.0,0.0
105_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9340000000000008,645.339923,59.174995,10.0,6.0,0.913207,0.115,2e-06,0.0,0.0,0.0,0.0
106_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9440000000000008,645.452193,59.17499,10.0,6.0,0.913015,0.115,6e-06,0.0,0.0,0.0,0.0
107_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9540000000000008,643.768936,59.174994,10.0,6.0,0.915305,0.115,3e-06,0.0,0.0,0.0,0.0
108_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9640000000000009,643.647701,59.174991,10.0,6.0,0.915237,0.115,4e-06,0.0,0.0,0.0,0.0
109_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9740000000000009,641.598949,59.174998,10.0,6.0,0.918248,0.115,1e-06,0.0,0.0,0.0,0.0
110_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9840000000000009,639.742306,59.174999,10.0,6.0,0.920781,0.115,1e-06,0.0,0.0,0.0,0.0
111_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9940000000000009,638.845707,59.174983,10.0,6.0,0.921757,0.115,1e-05,0.0,0.0,0.0,0.0
112_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.004000000000001,624.020741,59.174996,10.0,6.0,0.940846,0.115,2e-06,0.0,0.0,0.0,0.0
113_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0140000000000007,621.668854,59.174996,10.0,6.0,0.944078,0.115,2e-06,0.0,0.0,0.0,0.0
114_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0240000000000005,594.380841,59.174993,10.0,6.0,0.935435,0.115,4e-06,0.0,0.0,0.0,0.0
115_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0340000000000003,590.740221,59.174999,10.0,6.0,0.933232,0.115,1e-06,0.0,0.0,0.0,0.0
116_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.044,587.66516,59.174999,10.0,6.0,0.931964,0.115,0.0,0.0,0.0,0.0,0.0
117_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.054,587.605088,59.174997,10.0,6.0,0.932235,0.115,2e-06,0.0,0.0,0.0,0.0
