folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_IND_DIRECT_ELEC,f_IND_BOILER_GAS,f_IND_COGEN_GAS,f_IND_BOILER_WOOD,f_IND_BOILER_OIL,f_IND_BOILER_WASTE,f_IND_BOILER_COAL,f_IND_COGEN_WOOD,f_IND_COGEN_WASTE
90_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7840000000000007,709.624324,17.581964,6.242642,5.266664,4.353191,1e-05,4e-06,3e-06,1e-06,0.0
91_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7940000000000007,709.622999,17.581898,6.242651,5.266671,4.353203,3e-06,1e-06,1e-06,0.0,0.0
92_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8040000000000007,685.623349,17.555381,6.247572,5.275811,4.34114,1.6e-05,7e-06,4e-06,2e-06,1e-06
93_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8140000000000007,681.888508,17.551189,6.248228,5.277165,4.339718,1e-05,4e-06,2e-06,2e-06,0.0
94_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8240000000000007,678.362715,17.546106,6.249863,5.28037,4.227538,7e-06,3e-06,2e-06,1e-06,0.0
95_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8340000000000007,678.370389,17.546635,6.249882,5.28037,4.227312,4.2e-05,1.8e-05,1.1e-05,6e-06,2e-06
96_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8440000000000007,675.847305,17.544343,6.249985,5.281058,4.226371,1.5e-05,6e-06,4e-06,2e-06,1e-06
97_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8540000000000008,675.830642,17.544233,6.249987,5.281067,4.226344,1.9e-05,8e-06,5e-06,3e-06,1e-06
98_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8640000000000008,664.001029,17.532013,6.251678,5.285128,4.219796,1.5e-05,7e-06,4e-06,2e-06,1e-06
99_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8740000000000008,663.796408,17.531788,6.251694,5.285187,4.220205,2.3e-05,1e-05,6e-06,4e-06,1e-06
100_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8840000000000008,663.791619,17.531691,6.251692,5.285186,4.220201,8e-06,4e-06,2e-06,1e-06,0.0
101_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8940000000000008,662.125486,17.530174,6.251977,5.285959,4.204657,4e-05,1.7e-05,1e-05,6e-06,1e-06
