folder,techno_modifiee,technology,f,gwp_constr
179_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.006132,2.6739999999999866
180_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.152392,2.6839999999999864
181_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,6.60641,2.693999999999986
182_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.647416,2.703999999999986
183_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.918651,2.7139999999999858
184_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.421539,2.723999999999985
185_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.805975,2.7339999999999853
186_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.128582,2.743999999999985
187_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.157483,2.753999999999985
188_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.866203,2.7639999999999847
189_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.529301,2.7739999999999845
190_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.474808,2.7839999999999843
191_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.183719,2.793999999999984
192_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.390818,2.803999999999984
193_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.280333,2.813999999999984
194_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.135388,2.8239999999999834
195_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.50578,2.833999999999983
196_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.291294,2.843999999999983
197_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.97116,2.8539999999999828
198_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.91947,2.8639999999999826
199_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,5.943987,2.8739999999999823
200_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.619459,2.883999999999982
201_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.091686,2.893999999999982
202_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.063985,2.9039999999999817
203_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.762946,2.913999999999981
204_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.468572,2.9239999999999813
205_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.852466,2.933999999999981
206_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.278585,2.943999999999981
207_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.209121,2.9539999999999806
208_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.122204,2.9639999999999804
209_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.176685,2.97399999999998
210_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.044348,2.98399999999998
211_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.823394,2.99399999999998
212_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.052018,3.00399999999998
