folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_TRUCK_ELEC,f_BOAT_FREIGHT_DIESEL,f_TRUCK_FUEL_CELL,f_BOAT_FREIGHT_METHANOL,f_TRUCK_DIESEL,f_TRAIN_FREIGHT,f_TRUCK_NG,f_BOAT_FREIGHT_NG,f_TRUCK_METHANOL
262_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.503999999999969,152.711514,51.573528,28.480875,44.464468,1.100105,0.500607,7.73042,0.666374,8.703683,2.526075
263_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.5139999999999687,151.659917,52.406293,28.168577,12.663106,3.789773,3.583546,7.730421,0.447629,4.463406,0.90338
264_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.5239999999999685,150.448933,51.48683,28.224464,17.85336,7.887856,3.829227,7.73042,0.356447,16.194616,1.197615
265_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.5339999999999683,148.749486,51.487519,28.246164,1.070728,3.320245,0.460604,7.730421,0.395893,11.329267,0.516152
266_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.543999999999968,148.988246,52.542865,28.14069,16.59586,18.993584,1.108254,7.730421,3.694514,1.338851,3.166167
267_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.553999999999968,147.73449,54.80133,28.133933,7.883241,8.847944,3.518583,7.73042,0.302709,15.145877,15.179216
268_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.563999999999968,145.527355,52.727314,28.454243,31.413087,37.164592,19.494173,7.73042,0.190423,4.472492,0.258593
269_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.5739999999999674,143.453003,52.387281,28.291408,27.640048,1.404146,31.81007,7.73042,2.389063,1.570584,2.303544
270_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.583999999999967,142.142485,51.528931,28.613266,34.721517,27.888203,16.145147,7.73042,0.113303,14.689481,11.205794
271_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.593999999999967,138.814058,52.253844,47.940279,14.376043,11.802645,1.537475,7.730421,2.780609,5.364231,6.043744
272_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.603999999999967,138.80115,51.508926,28.17196,29.102788,4.199651,5.85204,7.730421,2.018525,12.451007,1.576088
273_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.613999999999967,138.804148,54.612753,28.230621,6.630416,4.34399,1.970803,7.730421,1.778413,3.443931,1.384668
274_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.6239999999999664,137.68252,51.479256,28.224335,1.194217,16.346814,9.314074,7.730421,8.399801,2.315912,0.753795
275_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.633999999999966,135.557619,51.496264,28.353378,11.46107,2.12662,5.137602,7.73042,0.794937,1.380255,0.186424
276_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.643999999999966,135.495427,51.501096,28.234997,19.677305,6.387586,11.321976,7.730421,1.225706,9.912259,0.271717
277_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.6539999999999657,132.907354,51.483459,28.231205,46.814776,3.624015,5.6523,7.730421,0.175684,1.741737,0.899893
278_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.6639999999999655,132.157175,52.024889,28.287786,5.823059,9.885319,2.14986,7.730421,0.86273,5.559059,0.801718
279_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.673999999999965,132.150599,51.517145,28.244196,13.156955,14.98466,1.912215,7.73042,0.05081,6.417859,2.175299
280_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.683999999999965,129.126903,64.524139,28.326765,9.575561,10.820261,25.239017,7.730421,20.853802,1.273397,4.107032
