folder,techno_modifiee,technology,f,gwp_constr
Techno_BEV_BATT_gwp6,BEV_BATT,METHANOL_TO_HVC,13.681284,6.299999999999997
Techno_BEV_BATT_gwp11,BEV_BATT,METHANOL_TO_HVC,13.5148,11.299999999999995
Techno_BEV_BATT_gwp16,BEV_BATT,METHANOL_TO_HVC,13.620985,16.299999999999997
Techno_BEV_BATT_gwp21,BEV_BATT,METHANOL_TO_HVC,13.807345,21.3
Techno_BEV_BATT_gwp26,BEV_BATT,METHANOL_TO_HVC,13.073668,26.3
Techno_BEV_BATT_gwp31,BEV_BATT,METHANOL_TO_HVC,13.621402,31.3
Techno_BEV_BATT_gwp36,BEV_BATT,METHANOL_TO_HVC,12.819226,36.3
Techno_BEV_BATT_gwp41,BEV_BATT,METHANOL_TO_HVC,12.863538,41.3
Techno_BEV_BATT_gwp46,BEV_BATT,METHANOL_TO_HVC,13.867377,46.3
Techno_BEV_BATT_gwp51,BEV_BATT,METHANOL_TO_HVC,13.976802,51.3
Techno_BEV_BATT_gwp56,BEV_BATT,METHANOL_TO_HVC,13.134967,56.3
Techno_BEV_BATT_gwp61,BEV_BATT,METHANOL_TO_HVC,12.794624,61.3
Techno_BEV_BATT_gwp0,BEV_BATT,OIL_TO_HVC,0.000407,0.0
Techno_BEV_BATT_gwp1,BEV_BATT,OIL_TO_HVC,28.383638,1.2999999999999972
Techno_BEV_BATT_gwp6,BEV_BATT,OIL_TO_HVC,28.131647,6.299999999999997
Techno_BEV_BATT_gwp11,BEV_BATT,OIL_TO_HVC,27.449049,11.299999999999995
Techno_BEV_BATT_gwp16,BEV_BATT,OIL_TO_HVC,27.219566,16.299999999999997
Techno_BEV_BATT_gwp21,BEV_BATT,OIL_TO_HVC,28.111325,21.3
Techno_BEV_BATT_gwp26,BEV_BATT,OIL_TO_HVC,26.01832,26.3
Techno_BEV_BATT_gwp31,BEV_BATT,OIL_TO_HVC,27.280777,31.3
Techno_BEV_BATT_gwp36,BEV_BATT,OIL_TO_HVC,24.798719,36.3
Techno_BEV_BATT_gwp41,BEV_BATT,OIL_TO_HVC,25.001652,41.3
Techno_BEV_BATT_gwp46,BEV_BATT,OIL_TO_HVC,28.74091,46.3
Techno_BEV_BATT_gwp51,BEV_BATT,OIL_TO_HVC,29.347085,51.3
Techno_BEV_BATT_gwp56,BEV_BATT,OIL_TO_HVC,26.354805,56.3
Techno_BEV_BATT_gwp61,BEV_BATT,OIL_TO_HVC,25.325483,61.3
Techno_BEV_BATT_gwp0,BEV_BATT,PYROLYSIS_TO_FUELS,0.00017,0.0
Techno_BEV_BATT_gwp1,BEV_BATT,PYROLYSIS_TO_FUELS,12.073986,1.2999999999999972
Techno_BEV_BATT_gwp6,BEV_BATT,PYROLYSIS_TO_FUELS,11.895861,6.299999999999997
Techno_BEV_BATT_gwp11,BEV_BATT,PYROLYSIS_TO_FUELS,11.570656,11.299999999999995
Techno_BEV_BATT_gwp16,BEV_BATT,PYROLYSIS_TO_FUELS,11.719509,16.299999999999997
Techno_BEV_BATT_gwp21,BEV_BATT,PYROLYSIS_TO_FUELS,11.866829,21.3
Techno_BEV_BATT_gwp26,BEV_BATT,PYROLYSIS_TO_FUELS,11.130092,26.3
Techno_BEV_BATT_gwp31,BEV_BATT,PYROLYSIS_TO_FUELS,11.735611,31.3
Techno_BEV_BATT_gwp36,BEV_BATT,PYROLYSIS_TO_FUELS,10.495592,36.3
Techno_BEV_BATT_gwp41,BEV_BATT,PYROLYSIS_TO_FUELS,10.703451,41.3
Techno_BEV_BATT_gwp46,BEV_BATT,PYROLYSIS_TO_FUELS,11.916744,46.3
Techno_BEV_BATT_gwp51,BEV_BATT,PYROLYSIS_TO_FUELS,11.835835,51.3
Techno_BEV_BATT_gwp56,BEV_BATT,PYROLYSIS_TO_FUELS,10.916582,56.3
Techno_BEV_BATT_gwp61,BEV_BATT,PYROLYSIS_TO_FUELS,10.313124,61.3
Techno_BEV_BATT_gwp0,BEV_BATT,PYROLYSIS_TO_LFO,0.000153,0.0
Techno_BEV_BATT_gwp1,BEV_BATT,PYROLYSIS_TO_LFO,11.359991,1.2999999999999972
Techno_BEV_BATT_gwp6,BEV_BATT,PYROLYSIS_TO_LFO,11.16216,6.299999999999997
Techno_BEV_BATT_gwp11,BEV_BATT,PYROLYSIS_TO_LFO,10.843568,11.299999999999995
Techno_BEV_BATT_gwp16,BEV_BATT,PYROLYSIS_TO_LFO,10.944455,16.299999999999997
Techno_BEV_BATT_gwp21,BEV_BATT,PYROLYSIS_TO_LFO,10.877184,21.3
Techno_BEV_BATT_gwp26,BEV_BATT,PYROLYSIS_TO_LFO,10.287544,26.3
Techno_BEV_BATT_gwp31,BEV_BATT,PYROLYSIS_TO_LFO,11.168463,31.3
Techno_BEV_BATT_gwp36,BEV_BATT,PYROLYSIS_TO_LFO,9.954591,36.3
Techno_BEV_BATT_gwp41,BEV_BATT,PYROLYSIS_TO_LFO,10.291209,41.3
Techno_BEV_BATT_gwp46,BEV_BATT,PYROLYSIS_TO_LFO,11.082819,46.3
