folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DHN_HP_ELEC,f_DHN_BOILER_GAS,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DHN_COGEN_WOOD,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DHN_DEEP_GEO
219_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.073999999999978,309.639135,7.748801,6.2e-05,5.9e-05,2.6e-05,7e-06,3e-06,3e-06,2e-06,2e-06,1e-06,0.0
220_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.083999999999978,305.693407,7.751128,3.2e-05,2.9e-05,1.4e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
221_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0939999999999777,300.166228,7.754958,1.9e-05,1.7e-05,8e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
222_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.103999999999977,295.865575,7.756698,1.9e-05,1.8e-05,8e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
223_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.113999999999977,291.986004,7.757301,4.6e-05,4.2e-05,2e-05,5e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
224_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.123999999999977,285.594276,7.758112,2.8e-05,2.8e-05,1.2e-05,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
225_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.133999999999977,270.526919,7.761267,3.9e-05,3.6e-05,1.8e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
226_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1439999999999766,258.260482,7.763757,2.8e-05,2.6e-05,1.2e-05,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
227_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1539999999999764,255.45648,7.765088,9.1e-05,8.7e-05,3.9e-05,1e-05,5e-06,3e-06,3e-06,2e-06,2e-06,0.0
228_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.163999999999976,247.573573,7.766473,5.4e-05,5.1e-05,2.3e-05,6e-06,3e-06,2e-06,2e-06,1e-06,1e-06,0.0
229_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.173999999999976,229.147029,7.770569,3.6e-05,3.4e-05,1.5e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
230_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.183999999999976,229.105313,7.770441,2.9e-05,2.6e-05,1.4e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
231_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1939999999999755,225.162552,7.787558,3.8e-05,3.4e-05,1.7e-05,5e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
232_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2039999999999758,218.870836,7.801937,1.5e-05,1.4e-05,7e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
233_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.213999999999975,218.973433,7.802168,4.6e-05,4.2e-05,2e-05,5e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
234_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.223999999999975,219.020995,7.802242,3.1e-05,2.8e-05,1.4e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
235_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2339999999999747,219.036747,7.802347,4.2e-05,4e-05,1.7e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
236_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2439999999999745,218.975208,7.802389,4.9e-05,4.4e-05,2.2e-05,6e-06,3e-06,2e-06,2e-06,2e-06,1e-06,0.0
237_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2539999999999742,218.838076,7.801976,1.8e-05,1.7e-05,7e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
238_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.263999999999974,216.566096,7.802343,3.9e-05,3.6e-05,1.7e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
239_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.273999999999974,215.892244,7.804753,1.6e-05,1.4e-05,7e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
240_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2839999999999736,212.940927,7.806327,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
