folder,techno_modifiee,gwp_constr,f_BATT_LI,f_PHS,f_TS_DEC_HP_ELEC,f_TS_HIGH_TEMP,f_CAR_FUEL_CELL,f_CAR_HEV,f_CAR_DIESEL,f_CAR_NG,f_CAR_METHANOL,f_CAR_GASOLINE,f_CAR_PHEV,f_CAR_BEV
89_IS_Techno_PHS_gwp80,PHS,79.52999999999986,,6.498888,,,177.624332,8.905003,4.939225,9.556816,13.648049,6.048072,5.5e-05,1.7e-05
90_IS_Techno_PHS_gwp80,PHS,80.32999999999986,,6.499258,,,190.561716,5.082736,2.755563,10.463498,7.464772,4.230632,1.5e-05,5e-06
91_IS_Techno_PHS_gwp81,PHS,81.12999999999985,,6.499532,,,177.238959,3.585254,7.679988,11.340173,4.863104,2.591151,2.7e-05,8e-06
92_IS_Techno_PHS_gwp82,PHS,81.92999999999985,,6.499762,,,177.235048,4.374163,1.288815,0.800473,1.980692,1.828826,1.7e-05,6e-06
93_IS_Techno_PHS_gwp83,PHS,82.72999999999985,,6.499482,,,177.164604,5.3256,1.153245,0.942422,1.378631,1.645359,3.2e-05,1e-05
94_IS_Techno_PHS_gwp84,PHS,83.52999999999984,,6.499378,,,177.958046,2.160087,1.35563,1.811156,1.242559,1.175342,1.2e-05,3e-06
95_IS_Techno_PHS_gwp84,PHS,84.32999999999984,,6.499615,,,177.132898,4.295859,1.710099,3.500462,2.252286,1.959829,1.5e-05,4e-06
96_IS_Techno_PHS_gwp85,PHS,85.12999999999984,,6.499239,,,176.993725,6.987474,2.200582,3.621205,0.561486,1.325502,1.8e-05,6e-06
97_IS_Techno_PHS_gwp86,PHS,85.92999999999984,,6.497682,,,179.299283,0.484981,2.944924,0.598387,0.451723,0.453097,4.7e-05,1.3e-05
98_IS_Techno_PHS_gwp87,PHS,86.72999999999983,,6.499676,,,177.044565,3.386319,1.16335,1.82064,1.30735,1.440486,2.6e-05,9e-06
99_IS_Techno_PHS_gwp88,PHS,87.52999999999983,,6.498363,,,180.173547,5.408429,1.179491,8.886618,1.173132,2.361197,4.4e-05,1.4e-05
100_IS_Techno_PHS_gwp88,PHS,88.32999999999983,,6.498247,,,177.400798,9.342649,3.059129,8.919992,2.906951,4.830066,3.8e-05,1.2e-05
101_IS_Techno_PHS_gwp89,PHS,89.12999999999982,,6.498008,,,177.00551,6.925329,53.819403,4.483225,2.525631,1.857442,2.8e-05,7e-06
