Scenario,TechnoModifiee,GWP,Technology,Capacity
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DEC_COGEN_OIL,3.1e-05
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DEC_ADVCOGEN_GAS,3.1e-05
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DEC_ADVCOGEN_H2,3.1e-05
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DEC_BOILER_GAS,3.1e-05
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DEC_BOILER_WOOD,3.1e-05
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DEC_BOILER_OIL,3.1e-05
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DHN_DAILY,0.000101
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DHN_SEASONAL,948.996477
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_HIGH_TEMP,70.173811
Techno_BATT_LI_gwp51,BATT_LI,51.0,GAS_STORAGE,0.001221
Techno_BATT_LI_gwp51,BATT_LI,51.0,H2_STORAGE,0.000233
Techno_BATT_LI_gwp51,BATT_LI,51.0,DIESEL_STORAGE,0.370142
Techno_BATT_LI_gwp51,BATT_LI,51.0,GASOLINE_STORAGE,0.370508
Techno_BATT_LI_gwp51,BATT_LI,51.0,LFO_STORAGE,0.371201
Techno_BATT_LI_gwp51,BATT_LI,51.0,AMMONIA_STORAGE,0.370112
Techno_BATT_LI_gwp51,BATT_LI,51.0,METHANOL_STORAGE,0.370034
Techno_BATT_LI_gwp56,BATT_LI,56.0,BATT_LI,46.455649
Techno_BATT_LI_gwp56,BATT_LI,56.0,BEV_BATT,8e-06
Techno_BATT_LI_gwp56,BATT_LI,56.0,PHEV_BATT,5e-06
Techno_BATT_LI_gwp56,BATT_LI,56.0,PHS,6.499802
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DEC_DIRECT_ELEC,9.7e-05
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DEC_HP_ELEC,60.434143
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DEC_THHP_GAS,9.7e-05
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DEC_COGEN_GAS,9.7e-05
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DEC_COGEN_OIL,9.7e-05
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DEC_ADVCOGEN_GAS,9.7e-05
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DEC_ADVCOGEN_H2,9.7e-05
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DEC_BOILER_GAS,9.7e-05
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DEC_BOILER_WOOD,9.7e-05
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DEC_BOILER_OIL,9.7e-05
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DHN_DAILY,0.000342
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_DHN_SEASONAL,1003.333004
Techno_BATT_LI_gwp56,BATT_LI,56.0,TS_HIGH_TEMP,70.284151
Techno_BATT_LI_gwp56,BATT_LI,56.0,GAS_STORAGE,0.003626
Techno_BATT_LI_gwp56,BATT_LI,56.0,H2_STORAGE,0.00084
Techno_BATT_LI_gwp56,BATT_LI,56.0,DIESEL_STORAGE,1.205783
Techno_BATT_LI_gwp56,BATT_LI,56.0,GASOLINE_STORAGE,1.214351
Techno_BATT_LI_gwp56,BATT_LI,56.0,LFO_STORAGE,1.159987
Techno_BATT_LI_gwp56,BATT_LI,56.0,AMMONIA_STORAGE,1.183267
Techno_BATT_LI_gwp56,BATT_LI,56.0,METHANOL_STORAGE,1.194661
Techno_BATT_LI_gwp6,BATT_LI,6.0,BATT_LI,75.060941
Techno_BATT_LI_gwp6,BATT_LI,6.0,BEV_BATT,2.2e-05
Techno_BATT_LI_gwp6,BATT_LI,6.0,PHEV_BATT,1.4e-05
Techno_BATT_LI_gwp6,BATT_LI,6.0,PHS,6.483339
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DEC_DIRECT_ELEC,0.000281
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DEC_HP_ELEC,43.519231
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DEC_THHP_GAS,0.000281
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DEC_COGEN_GAS,0.00028
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DEC_COGEN_OIL,0.00028
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DEC_ADVCOGEN_GAS,0.000279
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DEC_ADVCOGEN_H2,0.000279
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DEC_BOILER_GAS,0.000281
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DEC_BOILER_WOOD,0.000281
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DEC_BOILER_OIL,0.00028
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DHN_DAILY,0.000666
Techno_BATT_LI_gwp6,BATT_LI,6.0,TS_DHN_SEASONAL,737.58687
